epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,1092.36,1.44784,0.63142,0.87734,0.84925,0.86684,0.86356,0.44783,1.76135,0.78865,0.96828,0.000192705,0.000192705,0.000192705
136,1100.42,1.34836,0.60234,0.87321,0.87583,0.8525,0.8509,0.44689,1.75213,0.76984,0.96095,0.000181703,0.000181703,0.000181703
137,1108.43,1.52962,0.63684,0.85963,0.85622,0.8474,0.85552,0.45734,1.70515,0.7509,0.96708,0.000170701,0.000170701,0.000170701
138,1116.52,1.31192,0.59931,0.83623,0.87914,0.8423,0.85003,0.45269,1.76856,0.74725,0.97527,0.000159699,0.000159699,0.000159699
139,1124.62,1.43034,0.68476,0.81525,0.8479,0.85054,0.84784,0.45989,1.71507,0.73979,0.96355,0.000148696,0.000148696,0.000148696
140,1132.68,1.35204,0.59438,0.86591,0.8494,0.86247,0.85573,0.45801,1.74407,0.75077,0.96787,0.000137694,0.000137694,0.000137694
141,1142.05,1.42081,0.65444,0.91148,0.83734,0.8766,0.84488,0.43034,1.78217,0.7612,0.97603,0.000126692,0.000126692,0.000126692
142,1150.2,1.34143,0.57754,0.86989,0.86614,0.872,0.85037,0.44496,1.74471,0.73153,0.98719,0.00011569,0.00011569,0.00011569
143,1158.24,1.38715,0.63738,0.88668,0.89741,0.86746,0.85345,0.45012,1.75476,0.72347,0.98175,0.000104688,0.000104688,0.000104688
144,1166.29,1.34497,0.63351,0.81791,0.86344,0.86589,0.84575,0.45331,1.7654,0.72156,0.98119,9.36854e-05,9.36854e-05,9.36854e-05
145,1174.3,1.61931,1.04571,1.03244,0.88219,0.85068,0.84969,0.44741,1.76669,0.72832,0.97276,8.26832e-05,8.26832e-05,8.26832e-05
146,1182.29,1.28675,0.57467,0.87311,0.88091,0.8423,0.84334,0.46188,1.73024,0.73136,0.96984,7.1681e-05,7.1681e-05,7.1681e-05
147,1190.35,1.29736,0.61084,0.85119,0.87448,0.8471,0.84331,0.45906,1.7172,0.73275,0.96491,6.06788e-05,6.06788e-05,6.06788e-05
148,1198.36,1.33239,0.58721,0.86245,0.85336,0.8423,0.83332,0.45094,1.73818,0.72523,0.96273,4.96766e-05,4.96766e-05,4.96766e-05
149,1206.37,1.41436,0.63101,0.89524,0.87671,0.86503,0.85995,0.45642,1.74064,0.73335,0.96392,3.86744e-05,3.86744e-05,3.86744e-05
150,1214.36,1.41146,0.60819,0.88176,0.85878,0.84915,0.84866,0.46405,1.72854,0.73256,0.96543,2.76722e-05,2.76722e-05,2.76722e-05
